TEST	CREATE ADD-MAP RM-MAP OPEN READ WRITE CLOSE FSTAT DIRENT UNLINK RMDIR RESOLVE  TOTAL
creates 	2288362	1965009	3242455	430699	0	0	709084	0	0	740196	1	4	9375810
writes 	289113	323424	412363	63025	0	0	62211	1	0	231868	1	98361	1480367
renames 	17	2376475	3620388	4	0	0	2	0	0	3	6	258	5997153
directories 	651035	1367785	1121935	0	0	0	0	0	0	0	2309498	242563	5692816
"rm (dense)" 	1218	0	291148	0	0	0	0	0	0	161507	15117	672743	1141733
"rm (sparse)" 	2	0	4060	0	0	0	0	0	0	3	28598	7943	40606
"pfind (dense)" 	8	0	1682	3006	0	0	2308	0	2610714	6	0	0	2617724
"pfind (sparse)" 	7	0	1	46505	0	0	46319	0	219964	3	0	0	312799
extract 	45171	47917	45170	47934	0	0	47934	53456	5498	42425	5490	45195	386190
punzip 	23326	23621	183685	10216	0	0	11141	8017	7508	11405	110	31327	310356
mailbench 	81039	132508	243065	28130	0	0	47641	24752	34941	49930	2985	49368	694359
fsstress 	38747	66416	63104	18531	0	0	11187	5964	30407	21882	31732	62096	350066
"build linux" 	23529	23034	496710	126960	1504	32116	116710	65298	10077	1426	1	390886	1288251
