c	"mailbench"	"fsstress"	"psearchy"	"punzip"	"build linux"	"pfind dense"	"pfind sparse"	"writes"	"renames"	"creates"	"directories"	
2	.7812	2.6041	.0185	.0985	.0010	1.0040	2.7397	.3186	.2813	.2037	.9746	
4	1.5625	6.9767	.0552	.2916	.0032	1.9493	7.5757	.6272	.5985	.4102	1.6411	
8	3.1250	12.4481	.1205	.6600	.0071	4.4722	12.8205	1.6694	1.1884	.8106	2.2967	
12	5.4794	16.7224	.1755	.9398	.0105	6.9686	18.3486	2.6007	1.8810	1.1479	2.9673	
16	7.3170	21.0210	.2369	1.2706	.0136	8.7873	21.7391	3.1520	2.3969	1.4925	3.4002	
20	8.7500	24.5398	.3058	1.5748	.0161	11.9165	26.2725	3.9370	2.8908	1.8455	3.7890	
24	10.1265	28.0898	.3518	1.7985	.0185	13.9720	28.9017	4.8250	3.4020	2.1449	4.1526	
28	11.4942	30.1886	.4132	2.0491	.0204	16.8598	29.2942	5.1746	3.9155	2.4898	4.3927	
32	12.7659	34.9932	.4460	2.3094	.0226	19.3986	30.8422	6.0331	4.4189	2.8421	4.6560	
36	13.5416	38.4122	.5005	2.5188	.0240	21.4861	32.7485	6.8085	4.8661	3.1791	4.8770	
40	14.1304	38.5144	.5353	2.5706	.0250	23.8331	34.5945	7.2245	5.4397	3.4898	5.1066	
