c	"mailbench"	"fsstress"	"psearchy"	"punzip"	"build linux"	"pfind dense"	"pfind sparse"	"writes"	"renames"	"creates"	"directories"	
2	1.00	1.01	1.02	1.03	1.04	1.05	1.06	1.07	1.08	1.09	1.010	
4	2.00	1.01	1.02	1.03	1.04	2.05	1.06	1.07	1.08	1.09	1.010	
8	4.00	2.01	1.02	1.03	1.04	3.05	2.06	4.07	3.08	3.09	3.010	
12	4.00	2.01	2.02	2.03	1.04	4.05	2.06	4.07	4.08	4.09	4.010	
16	4.00	2.01	2.02	2.03	1.04	6.05	4.06	4.07	6.08	6.09	6.010	
20	6.00	4.01	2.02	2.03	1.04	8.05	4.06	8.07	8.08	8.09	8.010	
24	8.00	4.01	2.02	2.03	1.04	10.05	4.06	8.07	8.08	10.09	8.010	
28	8.00	4.01	2.02	4.03	1.04	12.05	6.06	8.07	10.08	12.09	8.010	
32	8.00	6.01	2.02	4.03	1.04	12.05	6.06	12.07	12.08	12.09	10.010	
36	10.00	6.01	2.02	4.03	1.04	12.05	8.06	12.07	14.08	14.09	12.010	
40	14.00	12.01	4.02	6.03	1.04	16.05	8.06	16.07	16.08	16.09	12.010	
